Predicted,Target
360,400
240,240
270,270
240%,240%
1:2,1:2
18,122
21.50%,21.50%
5,3
40,6.25
180,80
78,81
18,60
70,200
16000,16000
360,360
30%,30%
144,220
113%,113%
909,945
Cannot be determined,33
3:5,3:5
1.62,1.62
56,20
50,50
150,150
3000,1900
43%,43%
32,32
54,54
22,22
4.17,4.17
33.75,126
30,42
450,450
28,28
34%,32.50%
1000,2788
390,390
21,21
61,2
16,7
40,40
5:8,1:4
200%,200%
8,3.5
30,18.25
250,375
30,30
3:2,3:2
9,14
20,20
35%,35%
2,2
26%,26%
22.22%,28.60%
30,20
17,17
30,30
2:01,1:05
34,163
16,71
$21.60,$22.40
30,5
88,16
5:8,5:8
0.3,0.3
2.24,1.58
80,80
20 days,18 days
$115.80,$115.80
12,12
"$5,714","$5,714"
52,52
7.69,7.69
375,375
43,43
$150,$150
Infinite,3
25,26
5:14,5:14
10000,10000
240 meters,270
10 units,10 units
9.6,9.6
10 cans,15 cans
5740,5740
Rs. 36,4000
4,4
3^3,81
1:03,1:06
140,140
216,216
56,56
0.9,0.9
24 seconds,11.7
308 cmÂ²,42 cm 2'
0,1
12100,12100
20 and 21,20 and 21
62.83 cm,62.83 cm
55.25,55.25
86400,86400
3:7,3:7
$2.33,2.5
35,32.34
24/29,24/49
48,48
11680,11680
17,17
48,48
32550,32550
35,35
200,290
7/16,7/16
4,4
16000,14000
48,48
3/8,3/8
30,30
1/5,1/5
48,1.3
17,17
34,34
12.8,60
120,120
53,53
78,78
95,95
30,42
1280,1280
32,32
50,65
200,600
2,2
200,185.5
65,30
7.8,7.8
42.85,42.85
12,12
8:9,32 : 45
84,84
88,88
5,4
169,169
5,5
none,none
50,50
36/11,36/11
1,1
-11,-11
2.469,2.469
1/2,1/2
26,s.65
99,99
1,1
4795.93,s.4800
15.56,15.56
372,372
42,42
$156,$156
56,56
24%,20
72 minutes,48
18,18
8.25,8.25
12,12
4/13,4/13
400,400
20,21
7/27,7/27
68,68
6,6
240 km,840
1/4,1/4
1536 sq cm,1536 sq cm
20 cm,40 cm
Rs. 59392,64800
6.6,6.6
40%,66+2/3%
24,24
50,50
4 months,6
"55,543,445",55544445
"1,949,209",1951609
26,26
3.8,3.8
1/6,5/17
Rs. 25.25,21.6
11/120,11/120
24.75%,2900/129
5.76,5.76
9 hours,5
233,233
140 kmph,35 kmph
275 people,650
8,4
300,300
700 m,280
3,3
6,6
